Județ,Nume Unități,Latitude,Longitude,Tip
București,"Școala Gimnazială nr. 79, mun. București, Sector 4",444.229.771,261.062.992,Școală Gimnazială
București,"Liceul Teoretic Hyperion, sector 3, București",444.283.735,261.375.975,Liceu Teoretic
București,"Școala Primară Conil, București",444.107.366,260.281.494,Școală Primară
București,"Colegiul Național Gheorghe Șincai, București",444.142.473,261.036.877,Colegiu Național
București,"Școala Gimnazială ""Cezar Bolliac"", București",444.289.803,261.376.437,Școală Gimnazială
București,"Școala Gimnazială nr 86, București",444.231.915,261.478.977,Școală Gimnazială
București,"Școala Gimnazială ""Ion Heliade Rădulescu"" București",444.552.333,260.836.501,Școală Gimnazială
București,"Școala ""Gimnazială General Eremia Grigorescu"", București",443.807.159,2.613.715,Școală Gimnazială
București,"Liceul Teoretic ""Benjamin Franklin"", sector 5, municipiul București",444.295.661,261.524.015,Liceu Teoretic
București,"Școala Gimnazială Nr. 195, Sector 3, București",444.212.797,261.611.248,Școală Gimnazială
Buzău,"Școala Gimnazială ""înv. Clemența Beșchea"" Căpățânești, localitatea Mărăcineni, județul Buzău",451.857.205,268.009.964,Școală Gimnazială
Buzău,"Școala Gimnazială ""Gheorghe Vernescu"", municipiul Râmnicu Sarat, județul Buzău",4.537.250.969.999.990,270.504.909,Școală Gimnazială
Buzău,"Școala Gimnazială Nr.7, județul Buzău",451.487.617,268.390.216,Școală Gimnazială
Caraş-Severin,"Colegiul Național ""Mircea Eliade"", Reșița",453.223.157,218.841.732,Colegiu Național
Călăraşi,"Liceul Teoretic ""Mihai Eminescu"" Călarași, județul Călarași",44.202.313,273.169.589,Liceu Teoretic
Călăraşi,"Școala Gimnazială ""Mircea Vodă"", Călăraşi, județul Călăraşi",44.209,273.079.243,Școală Gimnazială
Cluj,"Școala Gimnazială ""Iuliu Hațieganu"",Cluj-Napoca, județul Cluj",4.675.700.870.000.000,235.511.161,Școală Gimnazială
Cluj,"Grădinița cu Program Prelungit ""Lumea Copiilor"" Cluj-Napoca, județul Cluj",467.805.081,236.162.601,Grădinița cu Program Prelungit
Cluj,"Colegiul Național Pedagogic ""Gheorghe Lazăr"" Cluj-Napoca",467.709.082,236.276.387,Colegiu Național Pedagogic
Constanţa,"Şcoala Gimnazială nr.8 Constanţa, judeţul Constanţa",441.716.112,286.164.176,Şcoală Gimnazială
Constanța,"Grădinița cu Program Prelungit nr. 33 Constanța, județul Constanța",441.882.682,286.285.026,Grădinița cu Program Prelungit
Constanța,"Școala Gimnazială nr.16 ""Marin Ionescu Dobrogianu"" Constanța, județul Constanța",438.218.813,285.801.269,Școală Gimnazială
Constanța,"Grădinița cu Program Prelungit ""Steluțele Mării"", Constanța, județul Constanța",441.742.272,286.238.912,Grădinița cu Program Prelungit
Constanța,"Liceul Teoretic ""Ioan Cotovu"", Constanța, județul Constanța",446.871.127,279.525.597,Liceu Teoretic
Constanța,"Școala Gimnazială ""Adrian V. Rădulescu"" Murfatlar- G.P.N. Nr. 2, județul Constanța",441.784.025,284.069.454,Școală Gimnazială
Constanța,"C.J.R.A.E. Constanța, județul Constanța",441.995.205,286.465.217,C.J.R.A.E.
Constanța,"Școala Gimnazială Pantelimon, din localitatea Pantelimon, județul Constanța",444.503.436,262.278.065,Școală Gimnazială
Constanța,"Grădinița cu Program Prelungit nr. 1 Valu lui Traian, din localitatea Valu lui Traian, județul Constanța",441.648.605,28.480.182,Grădinița cu Program Prelungit
Constanța,"Liceul Tehnologic ""Gheorghe Duca"" Constanța, județul Constanța",441.667.912,285.807.897,Liceu Tehnologic
Constanța,"Școala Gimnazială Nr 23 ""Constantin Brancoveanu"" Constanța, județul Constanța",44.180.933,286.176.332,Școală Gimnazială
Constanța,"Școala Gimnazială Nr.22"" ""I.C.Brătianu"", Constanța, județul Constanța",441.721.926,286.292.326,Școală Gimnazială
Constanța,"Liceul Tehnologic ""Axiopolis"" Cernavodă, Județul Constanța",44.333.671,280.376.127,Liceu Tehnologic
Constanța,"Grădiniță cu program normal ""Năsturel"" Constanța",441.759.147,286.519.359,Grădiniță cu program normal
Constanța,"Centrul Școlar pentru Educație Incluzivă ""Delfinul"" Constanța, județul Constanța",44.189.209,2.863.731,Centrul Școlar pentru Educație Incluzivă
Constanța,"Liceul Teoretic ""Decebal"" Constanța Grădinița ""Flipper"" - structură, Constanța",442.109.876,286.273.456,Liceu Teoretic
Constanța,"Şcoala Gimnazială nr 24 ""Ion Jalea"" Constanța, județul Constanța",441.310.739,28.604.751,Şcoală Gimnazială
Dâmbovița,"Școala Gimnazială Pătroaia-Vale din localitatea Crângurile, județul Dâmbovița",447.247.195,252.251.243,Școală Gimnazială
Dâmbovița,"Școala Gimnazială ""Matei Gr Vladeanu"" Cândești Vale, din localitatea Cândești, județul Dâmbovița",450.870.036,252.143.617,Școală Gimnazială
Dâmbovița,"Școala Gimnazială Nr. 4 ""Elena Donici Cantacuzino"", județul Dâmbovița",4.507.248.269.999.990,25.436.194,Școală Gimnazială
Dâmbovița,"Școala Gimnazială ""Mihai Viteazul"" Pucioasa, județul Dâmbovița",4.507.832.399.999.990,254.313.862,Școală Gimnazială
Dimbovita,"Școala Gimnazială ""Matei Basarab"" Târgoviște, din localitatea Târgoviște, județul Dâmbovița",449.301.408,254.420.148,Școală Gimnazială
Dolj,"Grădinița cu program prelungit ""Curcubeul Copilăriei"" Craiova, județul Dolj",443.318.106,237.941.122,Grădinița cu program prelungit
Dolj,"Liceul ""Voltaire"" Craiova, județul Dolj",443.071.867,238.226.512,Liceul
Dolj,"Școala Gimnazială ""Nicolae Romanescu"", municipiul Craiova, județul Dolj",443.044.073,238.140.437,Școală Gimnazială
Dolj,"Grădinița cu Program Prelungit""Floare Albastră "" Craiova, județul Dolj",443.022.179,237.923.566,Grădinița cu Program Prelungit
Dolj,"Şcoala Gimnazială Vârtop, județul Dolj",442.092.785,233.454.514,Şcoală Gimnazială
Dolj,"Școala Gimnazială Breasta, Dolj",443.418.935,236.901.747,Școală Gimnazială
Dolj,"Școala Gimnazială ""Lascăr Catargiu"", Craiova, Județul Dolj",443.068.645,237.829.297,Școală Gimnazială
Galați,"Școala Gimnazială Româno-Britanică,Galați, județul Galați",45.409.913,28.015.708,Școală Gimnazială
Galați,"Colegiul Național ""Vasile Alecsandri"", Galați, județul Galați",4.544.077.619.999.990,280.517.332,Colegiu Național
Galați,"Școala Profesională Specială ""Emil Gârleanu"", Galați, județul Galați",454.440.612,280.511.436,Școală Profesională Specială
Galați,"Școala Gimnazială nr 2 Barcea, din localitatea Barcea, județul Galați",457.530.125,274.690.679,Școală Gimnazială
Galați,"Școala Gimnazială Nr. 28 Galați, județul Galați",454.288.125,280.493.125,Școală Gimnazială
Galați,"Școala Gimnazială ""Negoiță Dănăilă"" sat Bucești, Galați",456.617.863,275.245.768,Școală Gimnazială
Galați,"Școala Gimnazială Specială ""Constantin Pufan"" Galați, județul Galați",454.493.558,280.246.281,Școală Gimnazială Specială
Galați,"Școala Gimnazială ""Sfantul Nicolae"", Județul Galați",454.347.383,28.022.658,Școală Gimnazială
Galați,"Școala Gimnazială Nr. 2 Liești, județul Galați",456.326.589,275.345.231,Școală Gimnazială
Galați,"Școala Gimnazială nr 29 Galați, judeţul Galați",454.150.702,280.163.473,Școală Gimnazială
Giurgiu,"Școala Gimnazială nr.2 Cartojani, Cartojani, județul Giurgiu",44.432.022,254.909.035,Școală Gimnazială
Giurgiu,"Liceul Tehnologic ""Dimitrie Bolintineanu"", localitatea Bolintin-Vale, județul Giurgiu",444.462.392,257.566.684,Liceu Tehnologic
Gorj,"Grădinița cu Program Prelungit Nr. 8 Târgu-Jiu, județul Gorj",4.502.652.699.999.990,23.275.459,Grădinița cu Program Prelungit
Gorj,"Centrul Școlar pentru Educație Incluzivă Tg-Jiu, județul Gorj",4.506.703.720.000.000,232.910.644,Centrul Școlar pentru Educație Incluzivă
Gorj,"Grădinița cu Program Prelungit ""Vis de Copil"", Tg-Jiu, județul Gorj",450.363.696,232.718.095,Grădinița cu Program Prelungit
Gorj,"Școala Gimnazială ""Antonie Mogoș"", Ceauru, județul Gorj",450.124.012,232.025.983,Școală Gimnazială
Gorj,"Școala Gimnazială Nr. 1 Polovragi, județul Gorj",451.743,2.381.283,Școală Gimnazială
Gorj,"Liceul de Arte "" Constantin Brăiloiu"" din localitatea Tg-Jiu, județul Gorj",45.043.927,23.278.454,Liceul de Arte
Gorj,"Școala Gimnazială Țânțăreni din localitatea Țânțăreni, județul Gorj",4.459.486,234.919.296,Școală Gimnazială
Gorj,"Școala Gimnazială Capu Dealului din localitatea Brănești, județul Gorj",44.648.186,234.599.274,Școală Gimnazială
Gorj,"Școala Gimnazială Nr.1 Rovinari, din localitatea Rovinari, județul Gorj",4.489.489.150.000.000,231.618.706,Școală Gimnazială
Gorj,"Liceul Mătasari, din localitatea Mătasari, județul Gorj",448.448.521,230.906.882,Liceul
Gorj,"Școala Gimnazială Nr. 3 Rovinari, județul Gorj",448.981.992,23.164.578,Școală Gimnazială
Gorj,"Şcoala Gimnazială Nr.1 Bumbești -Jiu, Gorj",4.517.843.209.999.990,233.823.992,Şcoală Gimnazială
Gorj,"Colegiul Mihai Viteazul Bumbești -Jiu, Gorj",451.756.566,2.338.386,Colegiul
Gorj,Gradinița Nr. 1 Albeni; Gorj,450.269.456,236.020.925,Gradinița
Gorj,"Grădinița Nr. 2 Albeni , Gorj",447.042.686,230.919.095,Grădinița
Gorj,"Colegiul Național ""Spiru Haret"" Târgu Jiu, Gorj",450.278.806,23.278.474,Colegiu Național
Gorj,"Școala Gimnazială Căpreni, Gorj",447.448.359,236.255.595,Școală Gimnazială
Gorj,"Școala Gimnazială Săcelu, Gorj",4.509.773.149.999.990,235.403.491,Școală Gimnazială
Gorj,"Școala Gimnazială ""Gheorghe Tatarescu"", Târgu Jiu, Gorj",450.286.121,232.719.612,Școală Gimnazială
Gorj,"Școala Gimnazială ""Aurel Teodorescu"" Stejari, Gorj",451.562.695,232.581.734,Școală Gimnazială
Gorj,"Colegiul Național ""George Coșbuc"" Motru, Gorj",448.057.385,22.966.584,Colegiu Național
Gorj,Școala Gimnazială Scoarța,450.207.403,234.665.469,Școală Gimnazială
Gorj,"Școala Gimnazială ""Antonie Mogoș"" Bălești, Gorj",450.124.012,232.025.983,Școală Gimnazială
Gorj,"Școala Gimnazială Godinești, Gorj",4.500.697.659.999.990,229.649.877,Școală Gimnazială
Gorj,"Școala Gimnazială nr 2, Motru, Gorj",448.027.376,229.728.558,Școală Gimnazială
Gorj,"Școala Gimnazială Padeș, Gorj",450.199.913,228.575.431,Școală Gimnazială
Gorj,"Grădinița cu Program Prelungit ""Mihai Eminescu"", Targu Jiu, Județul Gorj",450.264.508,232.788.618,Grădinița cu Program Prelungit
Gorj,"Gradinita cu Program Prelungit:""Lumea Copiilor'', Targu Jiu, Județul Gorj",450.341.839,232.746.076,Gradinita cu Program Prelungit
Gorj,"Școala Gimnazială Alexandru Ștefulescu, Tg- Jiu, Județul Gorj",450.383.672,232.757.756,Școală Gimnazială
Gorj,"Grădinița Program Prelungit Nr. 1, Tg.Jiu, Județul Gorj",450.286.121,232.719.612,Grădinița Program Prelungit
Gorj,"Liceul Tehnologic Bâlteni, Județul Gorj",448.646.644,232.790.984,Liceu Tehnologic
Gorj,"Școala Gimnazială Nr. 1 Andreești, Comuna Vladimir, Județul Gorj",447.825.813,235.394.011,Școală Gimnazială
Gorj,"Colegiul Economic ""Virgil Madgearu"" Târgu Jiu, Județul Gorj",450.385.935,232.861.783,Colegiul Economic
Gorj,"Liceul Tehnologic Nr.2 Târgu Jiu, Județul Gorj",45.031.479,232.689.105,Liceu Tehnologic
Gorj,"Liceul Tehnologic Roșia de Amaradia, Școala Gimnazială Ruget, Județul Gorj",45.016.658,237.642.216,Liceu Tehnologic
Gorj,"Școala Gimnazială Nr.1 Motru, Județul Gorj",448.035.496,229.712.918,Școală Gimnazială
Gorj,"Grădinița cu Program Prelungit Nr. 8, Târgu-Jiu, Județul Gorj",4.502.652.699.999.990,23.275.459,Grădinița cu Program Prelungit
Gorj,"Liceul Auto Traian Vuia, Târgu-Jiu, Județul Gorj",450.657.369,232.936.388,Liceul Auto
Gorj,"Scoala Gimnazială Sănești, Târgu-Jiu, Județul Gorj",450.474.829,23.274.941,Scoala Gimnazială
Gorj,"Grădinița cu program prelungit nr.8 Structura Scufița Roșie, Târgu-Jiu, Județul Gorj",4.502.652.699.999.990,23.275.459,Grădinița cu program prelungit
Gorj,"Colegiul Național ""Ecaterina Teodoroiu"", Târgu-Jiu, Județul Gorj",4.502.815.450.000.000,232.710.831,Colegiu Național
Gorj,"Liceul Teologic Târgu Jiu, Gorj",450.310.209,232.783.754,Liceul Teologic
Gorj,"Grădinița Prikin'Dell Tg-Jiu, Gorj",450.361.109,232.556.377,Grădinița
Gorj,"Școala Gimnazială Alimpești, județul Gorj",450.891.471,238.021.994,Școală Gimnazială
Gorj,"Școala Gimnazială Ionești, judeţul Gorj",4.494.855.949.999.990,232.427.079,Școală Gimnazială
Gorj,"Școala Gimnazială Novaci, județul Gorj",451.782.926,23.672.086,Școală Gimnazială
Gorj,"Școala Gimnazială nr.1 Telești, localitatea Telești, județul Gorj",449.864.753,230.931.087,Școală Gimnazială
Hunedoara,"Liceul Tehnologic ""Retezat"" Uricani, judeţul Hunedoara",45.340.086,231.533.879,Liceu Tehnologic
Iași,"Grădinița ""AngelKids"" din localitatea Iași, județul Iași",471.674.241,275.760.845,Grădinița
Iaşi,"Şcoala Gimnazială ""Mihai Codreanu"" Iaşi, din localitatea Iași, județul Iași",4.716.671.849.999.990,275.882.313,Şcoală Gimnazială
Iași,"Școala Gimnazială ""Ion Neculce"" Iași, județul Iași",4.715.273.310.000.000,275.771.424,Școală Gimnazială
