Județ,Nume Unități,Latitude,Longitude,Tip
Sibiu,"Colegiul Economic ""George Barițiu"" Sibiu, localitatea Sibiu"", județul Sibiu",457.841.143,241.503.914,Colegiul Economic
Sibiu,"Colegiul Naţional ""Octavian Goga"" Sibiu",457.935.506,241.458.825,Colegiu Naţional
Sibiu,"Liceul Tehnologic de Industrie Alimentară ""Terezianum"", Sibiu",458.065.259,2.414.977,Liceu Tehnologic de Industrie Alimentară
Sibiu,"Liceul Teoretic ""Onisifor Ghibu"" Sibiu",4.578.996.790.000.000,241.351.508,Liceul Teoretic
Sibiu,"Liceul Teoretic Constantin Noica Sibiu, Județul Sibiu",457.773.289,241.542.112,Liceul Teoretic
Sibiu,"Școala Gimnazială ""Radu Selejan"" Sibiu, Județul Sibiu",457.834.008,24.167.234,Școală Gimnazială
Sibiu,"Școala Gimnazială Alma-Structura Șmig, Sibiu",462.260.117,244.441.069,Școală Gimnazială
Sibiu,"Școala Gimnazială ""Ion Luca Caragiale"" Sibiu",457.766.134,241.415.077,Școală Gimnazială
Sibiu,Şcoala Gimnazială Nr.25 Sibiu,457.689.187,241.276.181,Şcoală Gimnazială
Sibiu,"Şcoala Gimnazială Blăjel, Sibiu",462.058.516,243.224.312,Şcoală Gimnazială
Sibiu,"Școala Gimnazială Nr.21, Sibiu",4.578.064.579.999.990,241.588.699,Școală Gimnazială
Sibiu,"Școala Gimnazială Șeica Mare, Sibiu",460.239.949,241.582.483,Școală Gimnazială
Sibiu,"Colegiul Național Pedagogic ""Andrei Șaguna"" Sibiu",457.820.798,241.540.857,Colegiu Național Pedagogic
Sibiu,"Școala Gimnazială nr.10 Sibiu, județul Sibiu",457.895.633,241.183.376,Școală Gimnazială
Suceava,"Colegiul Tehnic ""Samuil Isopescu"" - C.J.R.A. E., Suceava, județul Suceava",476.388.968,262.603.124,Colegiul Tehnic
Suceava,"Clubul Sportiv Şcolar Rădăuţi, localitatea Rădăuţi, județul Suceava",478.413.129,259.256.751,Clubul Sportiv Şcolar
Suceava,"Grădinița cu Program Normal ""Țăndărică"" Suceava, județul Suceava",476.379.813,262.338.051,Grădinița cu Program Normal
Suceava,"Colegiul Tehnic ""Samuil Isopescu"", judeţul Suceava",476.388.968,262.603.124,Colegiul Tehnic
Teleorman,"Colegiul Național ""Unirea"", din localitatea Turnu Măgurele, județul Teleorman",437.441.888,248.680.633,Colegiu Național
Teleorman,"Școala Gimnazială Lisa, localitatea Lisa, județul Teleorman",437.930.133,251.451.652,Școală Gimnazială
Teleorman,"Școala Gimnazială Bogdana, județul Teleorman",439.214.924,250.921.803,Școală Gimnazială
Timiș,"Liceul Teologic Romano-Catolic ""Gerhardinum"", județul Timiș",457.529.174,212.219.155,Liceul Teologic Romano-Catolic
Timiș,"Liceul Teoretic Recaș, din localitatea Recaș, județul Timiș",458.011.245,215.127.677,Liceul Teoretic
Timiș,"Școala Gimnazială Anghel Saligny Banloc și Școala Gimnazială Livezile, din localitatea Banloc județul Timiș",453.898.896,211.392.785,Școală Gimnazială
Timiș,"Liceul Teoretic Buziaș, Județul Timiș",456.473.823,216.050.621,Liceul Teoretic
Timiș,"Colegiul Național Pedagogic ""Carmen Sylva"" Timișoara, județul Timiș",4.575.407.480.000.000,212.358.498,Colegiu Național Pedagogic
Tulcea,"Seminarul Teologic Ortodox Sf. ""loan Casian"" Tulcea, structura Grădinița cu Program Prelungit nr. 12 Tulcea, județul Tulcea",451.776.773,287.871.502,Seminarul Teologic Ortodox
Tulcea,"Școala Gimnazială Dorobanțu, județul Tulcea",449.593.381,282.852.791,Școală Gimnazială
Vâlcea,"Colegiul Economic Râmnicu Vâlcea, din mun. Râmnicu Vâlcea, județul Vâlcea,",45.095.206,243.608.234,Colegiul Economic
Vâlcea,"Liceul ""Preda Buzescu"" Berbești, județul Vâlcea",449.749.737,238.622.905,Liceul
Vâlcea,"Școala Gimnazială nr.13/G.P.P.Ostroveni 3, localitatea Râmnicu Vâlcea, județul Vâlcea",450.948.983,243.756.188,Școală Gimnazială
Vaslui,"Școala Gimnazială Nr.1 / G.P.N. Sat Lunca Banului, județul Vaslui",465.973.081,281.673.685,Școală Gimnazială
Vaslui,"Școala Gimnazială ""Elena Cuza"" Vaslui, Vaslui, județul Vaslui",466.357.918,277.273.404,Școală Gimnazială
Vaslui,"Centrul Școlar de Educație Incluzivă din localitatea Negrești, județul Vaslui",468.368.943,274.594.818,Centrul Școlar de Educație Incluzivă
Vaslui,"Școala Gimnazială ""Gheorghe Cioata"" Sat Todiresti, Județul Vaslui",468.412.411,273.835.359,Școală Gimnazială
Vaslui,"Școala Gimnazială "" Ion Murgeanu "" Zorleni"", judeţul Vaslui",462.635.888,277.195.845,Școală Gimnazială
Vrancea,"Grădinița cu Program normal Lizuca, stuctură a Liceului Tehnologic ""Eremia Grigorescu"", Mărăștești, localitatea Mărășești, județul Vrancea",455.449.818,274.978.405,Grădinița cu Program normal
Vrancea,"Școala Gimnazială Bălești, Comuna Bălești, județul Vrancea",454.413.965,27.236.982,Școală Gimnazială
